Rank,State or union territory,Population (2011 Census)[12],%Decadal Growth (2001–2011),Rural Pop.[14],Urban Pop.[14],Area[15],Density,Sex ratio,(% of Population of India)[13]
1,Uttar Pradesh,199281477,0.201,155111022,44470455,"240,928 km2(93,023 sq mi)","828/km2(2,140/sq mi)",908,16.49%
2,Maharashtra,112372972,0.16,61545441,50827531,"307,713 km2(118,809 sq mi)",365/km2 (950/sq mi),946,9.28%
3,Bihar,103804637,0.251,92075028,11729609,"94,163 km2(36,357 sq mi)","1,102/km2(2,850/sq mi)",916,8.58%
4,West Bengal,91347736,0.139,62213676,29134060,"88,752 km2(34,267 sq mi)","1,029/km2(2,670/sq mi)",947,7.55%
5,Madhya Pradesh,72597565,0.203,52537899,20059666,"308,245 km2(119,014 sq mi)",236/km2 (610/sq mi),930,6.00%
6,Tamil Nadu,72138958,0.156,37189229,34949729,"130,058 km2(50,216 sq mi)","555/km2(1,440/sq mi)",995,5.96%
7,Rajasthan,68621012,0.214,51540236,17080776,"342,239 km2(132,139 sq mi)",201/km2 (520/sq mi),926,5.67%
8,Karnataka,61130704,0.157,37552529,23578175,"191,791 km2(74,051 sq mi)",319/km2 (830/sq mi),968,5.05%
9,Gujarat,60383628,0.192,34670817,25712811,"196,024 km2(75,685 sq mi)",308/km2 (800/sq mi),918,5.00%
10,Andhra Pradesh,49386799,0.111,,,"160,205 km2(61,855 sq mi)",308/km2 (800/sq mi),993,4.08%
11,Odisha,41947358,0.14,34951234,6996124,"155,707 km2(60,119 sq mi)",269/km2 (700/sq mi),978,3.47%
12,Telangana,35286757,0.1787,21585313,13608665,"114,840 km2(44,340 sq mi)",307/km2 (800/sq mi),988,2.97%
13,Kerala,33387677,0.049,17445506,15932171,"38,863 km2(15,005 sq mi)","859/km2(2,220/sq mi)",1084,2.76%
14,Jharkhand,32966238,0.223,25036946,7929292,"79,714 km2(30,778 sq mi)","414/km2(1,070/sq mi)",947,2.72%
15,Assam,31169272,0.169,26780526,4388756,"78,438 km2(30,285 sq mi)","397/km2(1,030/sq mi)",954,2.58%
16,Punjab,27704236,0.137,17316800,10387436,"50,362 km2(19,445 sq mi)","550/km2(1,400/sq mi)",893,2.30%
17,Chhattisgarh,25540196,0.226,19603658,5936538,"135,191 km2(52,198 sq mi)",189/km2 (490/sq mi),991,2.11%
18,Haryana,25353081,0.199,16531493,8821588,"44,212 km2(17,070 sq mi)","573/km2(1,480/sq mi)",877,2.09%
19,Jammu and Kashmir,12548926,0.237,9134820,3414106,"222,236 km2(85,806 sq mi)",56/km2 (150/sq mi),883,1.04%
20,Uttarakhand,10116752,0.192,7025583,3091169,"53,483 km2(20,650 sq mi)",189/km2 (490/sq mi),963,0.84%
21,Himachal Pradesh,6856509,0.128,6167805,688704,"55,673 km2(21,495 sq mi)",123/km2 (320/sq mi),974,0.57%
22,Tripura,3671032,0.147,2710051,960981,"10,486 km2 (4,049 sq mi)",350/km2 (910/sq mi),961,0.30%
23,Meghalaya,2964007,0.278,2368971,595036,"22,429 km2 (8,660 sq mi)",132/km2 (340/sq mi),986,0.24%
24,Manipur_,2721756,0.187,1899624,822132,"22,327 km2 (8,621 sq mi)",122/km2 (320/sq mi),987,0.22%
25,Nagaland,1980602,-0.005,1406861,573741,"16,579 km2 (6,401 sq mi)",119/km2 (310/sq mi),931,0.16%
26,Goa,1457723,0.082,551414,906309,"3,702 km2 (1,429 sq mi)","394/km2(1,020/sq mi)",968,0.12%
27,Arunachal Pradesh,1382611,0.259,1069165,313446,"83,743 km2(32,333 sq mi)",17/km2 (44/sq mi),920,0.11%
28,Mizoram,1091014,0.228,529037,561997,"21,081 km2 (8,139 sq mi)",52/km2 (130/sq mi),975,0.09%
29,Sikkim,607688,0.124,455962,151726,"7,096 km2 (2,740 sq mi)",86/km2 (220/sq mi),889,0.05%
NCT,Delhi,16753235,0.21,419319,16333916,"1,484 km2 (573 sq mi)","11,297/km2(29,260/sq mi)",866,1.38%
UT1,Puducherry,1244464,0.277,394341,850123,479 km2 (185 sq mi),"2,598/km2(6,730/sq mi)",1038,0.10%
UT2,Chandigarh,1054686,0.171,29004,1025682,114 km2 (44 sq mi),"9,252/km2(23,960/sq mi)",818,0.09%
UT3,Andaman and Nicobar Islands,379944,0.067,244411,135533,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),878,0.03%
UT4,Dadra and Nagar Haveli,342853,0.555,183024,159829,491 km2 (190 sq mi),"698/km2(1,810/sq mi)",775,0.03%
UT5,Daman and Diu,242911,0.535,60331,182580,112 km2 (43 sq mi),"2,169/km2(5,620/sq mi)",618,0.02%
UT6,Lakshadweep,64429,0.062,14121,50308,32 km2 (12 sq mi),"2,013/km2(5,210/sq mi)",946,0.01%
Total,India,1210193422,0.1764,833087662,377105760,"3,287,240 km2(1,269,210 sq mi)",382/km2(990/sq mi),940,100.00%
