State,Literacy
GUJARAT,78.03
HIMACHAL PRADESH,82.8
RAJASTHAN,66.11
UTTAR PRADESH,67.68
TAMIL NADU,80.09
TRIPURA,87.22
MAHARASHTRA,82.34
KERALA,94
ASSAM,72.19
CHANDIGARH,86.05
BIHAR,61.8
TELANGANA,Nil
PUNJAB,75.84
ANDHRA PRADESH,67.02
WEST BENGAL,76.26
KARNATAKA,75.36
NATIONAL CAPITAL TERRITORY OF DELHI,Nil
ORISSA,72.87
MADHYA PRADESH,69.32
JHARKHAND,66.41
HARYANA,75.55
JAMMU & KASHMIR,67.16
UTTARAKHAND,78.82
CHHATTISGARH,70.28
GOA,88.7
MANIPUR,79.21
ARUNACHAL PRADESH,65.38
NAGALAND,79.55
ANDAMAN & NICOBAR ISLANDS,86.63
MEGHALAYA,74.43
UTTARANCHAL,Nil
LAKSHADWEEP,91.85
DADRA & NAGAR HAVELI,76.24
PUDUCHERRY,85.85
DAMAN & DIU,87.1
SIKKIM,81.42
MIZORAM,91.33
PONDICHERRY,85.85
