,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year
0,64,5658980,ANDAMAN & NICOBAR ISLANDS,1,Graduate,175115,candidate.php?candidate_id=585,Bishnu Pada Ray,BJP,ANDAMAN & NICOBAR ISLANDS,1,2014
1,41,859410,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,350000,candidate.php?candidate_id=901,A Pandian,AIFB,ANDAMAN & NICOBAR ISLANDS,0,2014
2,48,5471073,ANDAMAN & NICOBAR ISLANDS,1,Graduate,6000,candidate.php?candidate_id=584,Anita Mondal,AITC,ANDAMAN & NICOBAR ISLANDS,0,2014
3,41,50000,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,0,candidate.php?candidate_id=904,C G Saji Kumar,IND,ANDAMAN & NICOBAR ISLANDS,0,2014
4,47,3192819,ANDAMAN & NICOBAR ISLANDS,0,Graduate,688689,candidate.php?candidate_id=124,Gaur Chandra Majumder,BSP,ANDAMAN & NICOBAR ISLANDS,0,2014
5,70,4221392,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,0,candidate.php?candidate_id=900,K.G.Das,CPI(M),ANDAMAN & NICOBAR ISLANDS,0,2014
6,46,31594826,ANDAMAN & NICOBAR ISLANDS,0,Graduate Professional,5034619,candidate.php?candidate_id=122,Kuldeep Rai Sharma,INC,ANDAMAN & NICOBAR ISLANDS,0,2014
7,59,5287805,ANDAMAN & NICOBAR ISLANDS,0,10th Pass,43642,candidate.php?candidate_id=470,N K P Nair,CPI(ML)L,ANDAMAN & NICOBAR ISLANDS,0,2014
8,35,32400,ANDAMAN & NICOBAR ISLANDS,0,8th Pass,549313,candidate.php?candidate_id=902,N Kannan,IND,ANDAMAN & NICOBAR ISLANDS,0,2014
9,38,308000,ANDAMAN & NICOBAR ISLANDS,0,Post Graduate,0,candidate.php?candidate_id=586,Prakash Minj,IND,ANDAMAN & NICOBAR ISLANDS,0,2014
10,49,1380999,ANDAMAN & NICOBAR ISLANDS,0,Post Graduate,253000,candidate.php?candidate_id=123,R.S.Uma Bharatthy,NCP,ANDAMAN & NICOBAR ISLANDS,0,2014
11,49,1128697,ANDAMAN & NICOBAR ISLANDS,1,8th Pass,20000,candidate.php?candidate_id=907,Raghubir Singh,SP,ANDAMAN & NICOBAR ISLANDS,0,2014
12,43,57497526,ANDAMAN & NICOBAR ISLANDS,0,10th Pass,633088,candidate.php?candidate_id=469,Sanjay Meshack,AAP,ANDAMAN & NICOBAR ISLANDS,0,2014
13,38,236000,ANDAMAN & NICOBAR ISLANDS,0,Graduate,0,candidate.php?candidate_id=583,Saravanan,IND,ANDAMAN & NICOBAR ISLANDS,0,2014
14,46,235000,ANDAMAN & NICOBAR ISLANDS,0,8th Pass,0,candidate.php?candidate_id=471,V V Khalid,IND,ANDAMAN & NICOBAR ISLANDS,0,2014
0,58,27131000,AMALAPURAM,0,Graduate Professional,3000000,candidate.php?candidate_id=8160,Pandula Ravindra Babu,TDP,ANDHRA PRADESH,1,2014
1,63,12625844,AMALAPURAM,1,Post Graduate,2504500,candidate.php?candidate_id=8158,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,INC,ANDHRA PRADESH,0,2014
2,65,2905000,AMALAPURAM,0,12th Pass,100000,candidate.php?candidate_id=8841,Bunga Bhaskararao,IND,ANDHRA PRADESH,0,2014
3,44,1174000,AMALAPURAM,1,Graduate Professional,100000,candidate.php?candidate_id=8842,Geddam Sampada Rao,BSP,ANDHRA PRADESH,0,2014
4,28,46513,AMALAPURAM,0,Post Graduate,0,candidate.php?candidate_id=8845,Kasi Chandramouli S/O Satyanandam,IND,ANDHRA PRADESH,0,2014
5,53,31500,AMALAPURAM,0,Others,5000,candidate.php?candidate_id=8844,Konki Venkata Rao,Republican Paksha (Khoripa),ANDHRA PRADESH,0,2014
6,43,1240000,AMALAPURAM,0,5th Pass,140000,candidate.php?candidate_id=8846,Kunche Peda Satyanarayana,Pyramid Party of India,ANDHRA PRADESH,0,2014
