,Unnamed: 0,Age,Assets_Rs,Constituency,Criminal_Cases,Education,Liabilities_Rs,Link,Name,Party,State,Winner,Year,full_link,Cogniz,Convict,Framed,Other_years,Total_Wins,History,Years_since,Incumbent,Other_elec,Common_link
0,0,64,5658980.0,28,1,5,175115,candidate.php?candidate_id=585,Bishnu Pada Ray,132,0,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=585,0.0,0.0,1.0,"['2014', '2009', '2004']",1.0,2.0,5.0,True,3.0,http://myneta.info/compare_profile.php?group_id=pYjJuqry8aGVw499es
1,1,41,859410.0,28,0,1,350000,candidate.php?candidate_id=901,A Pandian,27,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=901,0.0,0.0,0.0,,,,,,,
2,2,48,5471073.0,28,1,5,6000,candidate.php?candidate_id=584,Anita Mondal,32,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=584,1.0,0.0,0.0,,,,,,,
3,3,41,50000.0,28,0,1,0,candidate.php?candidate_id=904,C G Saji Kumar,312,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=904,0.0,0.0,0.0,,,,,,,
4,4,47,3192819.0,28,0,5,688689,candidate.php?candidate_id=124,Gaur Chandra Majumder,166,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=124,0.0,0.0,0.0,,,,,,,
5,5,70,4221392.0,28,0,1,0,candidate.php?candidate_id=900,K.G.Das,245,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=900,0.0,0.0,0.0,,,,,,,
6,6,46,31594826.0,28,0,6,5034619,candidate.php?candidate_id=122,Kuldeep Rai Sharma,311,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=122,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=czpVCecknRzZXnTTyZEe
7,7,59,5287805.0,28,0,0,43642,candidate.php?candidate_id=470,N K P Nair,249,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=470,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=K5p3bMs84tw9k5vZYVJx
8,8,35,32400.0,28,0,3,549313,candidate.php?candidate_id=902,N Kannan,312,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=902,0.0,0.0,0.0,,,,,,,
9,9,38,308000.0,28,0,11,0,candidate.php?candidate_id=586,Prakash Minj,312,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=586,0.0,0.0,0.0,,,,,,,
10,10,49,1380999.0,28,0,11,253000,candidate.php?candidate_id=123,R.S.Uma Bharatthy,506,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=123,0.0,0.0,0.0,,,,,,,
11,11,49,1128697.0,28,1,3,20000,candidate.php?candidate_id=907,Raghubir Singh,749,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=907,0.0,1.0,0.0,,,,,,,
12,12,43,57497526.0,28,0,0,633088,candidate.php?candidate_id=469,Sanjay Meshack,0,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=469,0.0,0.0,0.0,,,,,,,
13,13,38,236000.0,28,0,5,0,candidate.php?candidate_id=583,Saravanan,312,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=583,0.0,0.0,0.0,,,,,,,
14,14,46,235000.0,28,0,3,0,candidate.php?candidate_id=471,V V Khalid,312,0,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=471,0.0,0.0,0.0,,,,,,,
15,0,58,27131000.0,15,0,6,3000000,candidate.php?candidate_id=8160,Pandula Ravindra Babu,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8160,0.0,0.0,0.0,,,,,,,
16,1,63,12625844.0,15,1,11,2504500,candidate.php?candidate_id=8158,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8158,1.0,0.0,0.0,,,,,,,
17,2,65,2905000.0,15,0,1,100000,candidate.php?candidate_id=8841,Bunga Bhaskararao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8841,0.0,0.0,0.0,,,,,,,
18,3,44,1174000.0,15,1,6,100000,candidate.php?candidate_id=8842,Geddam Sampada Rao,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8842,0.0,0.0,1.0,,,,,,,
19,4,28,46513.0,15,0,11,0,candidate.php?candidate_id=8845,Kasi Chandramouli S/O Satyanandam,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8845,0.0,0.0,0.0,,,,,,,
20,5,53,31500.0,15,0,10,5000,candidate.php?candidate_id=8844,Konki Venkata Rao,723,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8844,0.0,0.0,0.0,,,,,,,
21,6,43,1240000.0,15,0,2,140000,candidate.php?candidate_id=8846,Kunche Peda Satyanarayana,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8846,0.0,0.0,0.0,,,,,,,
22,7,41,1399700.0,15,0,7,0,candidate.php?candidate_id=8479,Satyavathi Kommu,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8479,0.0,0.0,0.0,,,,,,,
23,8,32,31721.0,15,1,11,0,candidate.php?candidate_id=8477,Undru Gani Raju,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8477,0.0,0.0,1.0,,,,,,,
24,9,46,295000.0,15,0,1,0,candidate.php?candidate_id=8476,Vaddi Winston Churchil,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8476,0.0,0.0,0.0,,,,,,,
25,10,61,520000.0,15,0,11,0,candidate.php?candidate_id=8843,Vijaya Chakravarthy Panthagada,724,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8843,0.0,0.0,0.0,"['2014', '2014']",0.0,0.0,2014.0,False,2.0,http://myneta.info/compare_profile.php?group_id=MA6sKM6V8WTnjGwuni
26,11,54,11384157.0,15,2,11,4050000,candidate.php?candidate_id=8159,Vijaya Harsha Kumar Geddam,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8159,2.0,0.0,0.0,,,,,,,
27,12,51,28990944.0,15,1,6,7977496,candidate.php?candidate_id=8157,Viswarupu Pinipe,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8157,1.0,0.0,0.0,"['2014', '09']",0.0,1.0,2005.0,False,2.0,http://myneta.info/compare_profile.php?group_id=BSpShxCLcscqoGRbyXb
28,13,50,170000.0,15,0,11,25000,candidate.php?candidate_id=8478,Yalangi Ramesh,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8478,0.0,0.0,0.0,,,,,,,
29,0,47,213294327.0,23,1,7,64899193,candidate.php?candidate_id=8245,Muttamsetti Srinivasa Rao,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8245,0.0,0.0,1.0,,,,,,,
30,1,60,31500.0,23,0,5,0,candidate.php?candidate_id=8243,Appalaraju Sadaram,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8243,0.0,0.0,0.0,,,,,,,
31,2,29,60211000.0,23,6,6,1625000,candidate.php?candidate_id=8247,Avss Amarnadh Gudivada,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8247,1.0,0.0,5.0,,,,,,,
32,3,47,4121000.0,23,0,1,0,candidate.php?candidate_id=8847,Kondaraju Jampana,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8847,0.0,0.0,0.0,,,,,,,
33,4,0,370000.0,23,0,3,0,candidate.php?candidate_id=8851,Sarisa Leela Prasanna Kumari,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8851,0.0,0.0,0.0,,,,,,,
34,5,44,57324010.0,23,0,11,4098674,candidate.php?candidate_id=8244,Smt. Thota Vijaya Lakshmi,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8244,0.0,0.0,0.0,,,,,,,
35,6,46,6151000.0,23,1,6,0,candidate.php?candidate_id=8848,Tirupathi Rao Karanam,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8848,0.0,0.0,1.0,,,,,,,
36,7,41,0.0,23,0,11,0,candidate.php?candidate_id=8850,Vadlamuri Krishna Swaroop,265,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8850,0.0,0.0,0.0,,,,,,,
37,0,70,226481020.0,26,0,1,3265000,candidate.php?candidate_id=8326,Jutur Chinna Reddy Divakar Reddy,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8326,0.0,0.0,0.0,,,,,,,
38,1,57,26301000.0,26,0,11,0,candidate.php?candidate_id=8325,Anantha Venkata Rami Reddy,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8325,0.0,0.0,0.0,"['2014', '2009', '2004']",2.0,2.0,5.0,True,3.0,http://myneta.info/compare_profile.php?group_id=BwBArcJTxgx6wRAbtkF
39,2,47,0.0,26,0,9,0,candidate.php?candidate_id=9081,Bandaru Srinivasulu,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9081,0.0,0.0,0.0,,,,,,,
40,3,26,605000.0,26,0,3,300000,candidate.php?candidate_id=9083,Boya Anil Kumar,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9083,0.0,0.0,0.0,,,,,,,
41,4,53,1331648.0,26,0,11,117705,candidate.php?candidate_id=8330,Bujji Reddy Venugopal Reddy,321,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8330,0.0,0.0,0.0,,,,,,,
42,5,46,5063528.0,26,0,0,1200000,candidate.php?candidate_id=8331,Deshmukh Somanath,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8331,0.0,0.0,0.0,,,,,,,
43,6,51,58683.0,26,1,6,0,candidate.php?candidate_id=8161,G Lalitha,757,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8161,1.0,0.0,0.0,,,,,,,
44,7,37,52846700.0,26,0,0,0,candidate.php?candidate_id=9080,Gujjala Nagaraju,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9080,0.0,0.0,0.0,,,,,,,
45,8,40,1280000.0,26,0,0,0,candidate.php?candidate_id=9087,K.Nagaraju,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9087,0.0,0.0,0.0,,,,,,,
46,9,46,10240000.0,26,0,5,1395000,candidate.php?candidate_id=9079,P. Anil Chowdary,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9079,0.0,0.0,0.0,,,,,,,
47,10,27,50000.0,26,0,5,0,candidate.php?candidate_id=9082,Pavan Kumar,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9082,0.0,0.0,0.0,,,,,,,
48,11,54,14386694.0,26,0,11,1760200,candidate.php?candidate_id=9086,Shaik. Mohammad Shafi,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9086,0.0,0.0,0.0,,,,,,,
49,12,60,91331000.0,26,0,6,636000,candidate.php?candidate_id=9085,T. Kuldeep Choudary,766,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9085,0.0,0.0,0.0,,,,,,,
50,0,43,65147467.0,31,0,11,43261606,candidate.php?candidate_id=8865,Kothapalli Geetha,854,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8865,0.0,0.0,0.0,,,,,,,
51,1,52,15500.0,31,0,8,15000,candidate.php?candidate_id=8856,Biddika Ramayya,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8856,0.0,0.0,0.0,,,,,,,
52,2,33,52000.0,31,0,5,0,candidate.php?candidate_id=8858,Boorjabariki Dhanaraju,0,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8858,0.0,0.0,0.0,,,,,,,
53,3,41,2587354.0,31,0,5,0,candidate.php?candidate_id=8864,Gummidi Sandhya Rani,803,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8864,0.0,0.0,0.0,,,,,,,
54,4,60,310000.0,31,0,2,0,candidate.php?candidate_id=8862,Illa Ramireddy,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8862,0.0,0.0,0.0,,,,,,,
55,5,59,650000.0,31,0,2,0,candidate.php?candidate_id=8861,Kangala Baludora,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8861,0.0,0.0,0.0,,,,,,,
56,6,67,41503500.0,31,0,11,0,candidate.php?candidate_id=8860,Kishore Chandra Suryanarayana Deo Vyricherla,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8860,0.0,0.0,0.0,"['2014', '2011', '2009', '2004']",2.0,3.0,3.0,True,4.0,http://myneta.info/compare_profile.php?group_id=NQkUqRT9tAFnxbHknj5v
57,7,63,2230750.0,31,0,6,0,candidate.php?candidate_id=8863,Midiyam Baburao,245,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8863,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=er649uMJ3PLxBsctZTCa
58,8,35,1485000.0,31,0,5,0,candidate.php?candidate_id=8857,Sallangi Ratnam,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8857,0.0,0.0,0.0,,,,,,,
59,9,33,40150.0,31,0,11,0,candidate.php?candidate_id=8853,Sankara Rao Chetti,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8853,0.0,0.0,0.0,,,,,,,
60,10,39,612528.0,31,0,4,0,candidate.php?candidate_id=8859,Sankara Rao Vanugu,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8859,0.0,0.0,0.0,,,,,,,
61,0,60,45359744.0,113,0,11,0,candidate.php?candidate_id=8482,Malyadri Sriram,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8482,0.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=JvJNmswkLe29RjcH4PTM
62,1,31,40000.0,113,0,0,0,candidate.php?candidate_id=9131,Bandela Nageswara Rao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9131,0.0,0.0,0.0,,,,,,,
63,2,39,60000.0,113,0,10,50000,candidate.php?candidate_id=8483,Eda Chennaiah,0,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8483,0.0,0.0,0.0,,,,,,,
64,3,0,1185000.0,113,0,5,100000,candidate.php?candidate_id=8890,Gadde Thyagaraju,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8890,0.0,0.0,0.0,,,,,,,
65,4,34,1262200.0,113,0,0,733400,candidate.php?candidate_id=8895,Gogulamudi Narasimha Rao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8895,0.0,0.0,0.0,,,,,,,
66,5,0,155000.0,113,0,11,0,candidate.php?candidate_id=8891,Golla Babu Rao,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8891,0.0,0.0,0.0,,,,,,,
67,6,39,190000.0,113,0,11,0,candidate.php?candidate_id=8484,Nakkala Veeranjaneyulu,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8484,0.0,0.0,0.0,,,,,,,
68,7,56,65782130.0,113,0,11,1682000,candidate.php?candidate_id=8162,Panabaka Lakshmi,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8162,0.0,0.0,0.0,"['2014', '2011', '2009', '2004']",2.0,3.0,3.0,True,4.0,http://myneta.info/compare_profile.php?group_id=UUf8sgfbVveQwqx3Ctr
69,8,48,1277000.0,113,1,11,435000,candidate.php?candidate_id=8480,Perli Prasanna Deevena Kumar,324,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8480,0.0,0.0,1.0,,,,,,,
70,9,45,50000.0,113,0,6,0,candidate.php?candidate_id=8899,Philipu Dwarapalli,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8899,0.0,0.0,0.0,,,,,,,
71,10,29,95240.0,113,0,11,0,candidate.php?candidate_id=8894,Ratnababu Mamidi,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8894,0.0,0.0,0.0,,,,,,,
72,11,47,2460000.0,113,0,6,150000,candidate.php?candidate_id=8893,Rayapati David Wilson,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8893,0.0,0.0,0.0,,,,,,,
73,12,54,52633913.0,113,0,11,14662335,candidate.php?candidate_id=9130,Varikuti Amruthapani,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=9130,0.0,0.0,0.0,,,,,,,
74,13,25,71000.0,113,0,0,0,candidate.php?candidate_id=8897,Yellamati Ramesh,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8897,0.0,0.0,0.0,,,,,,,
75,0,62,14878003.0,272,0,6,0,candidate.php?candidate_id=8170,Naramalli Sivaprasad,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8170,0.0,0.0,0.0,"['2014', '2009']",1.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=r3vBhS3VgYXGoy2Mv8nw
76,1,64,20322000.0,272,0,4,100000,candidate.php?candidate_id=8868,B Rajagopal,311,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8868,0.0,0.0,0.0,,,,,,,
77,2,34,546700.0,272,0,11,0,candidate.php?candidate_id=8871,C S Udaya,593,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8871,0.0,0.0,0.0,,,,,,,
78,3,38,500500.0,272,0,5,0,candidate.php?candidate_id=8169,D.Jithendra Kumar,166,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8169,0.0,0.0,0.0,,,,,,,
79,4,35,29254634.0,272,0,4,337949,candidate.php?candidate_id=8172,Gandavarapu Samanya,854,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8172,0.0,0.0,0.0,,,,,,,
80,5,57,841732.0,272,0,6,0,candidate.php?candidate_id=8869,P Pushpa Raj,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8869,0.0,0.0,0.0,,,,,,,
81,6,43,1360000.0,272,0,0,2500000,candidate.php?candidate_id=8870,S Anjappa,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8870,0.0,0.0,0.0,,,,,,,
82,0,54,129394729.0,384,2,0,55294433,candidate.php?candidate_id=8178,Venkateswara Rao Maganti,803,1,1,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8178,2.0,0.0,0.0,"['2014', '2009']",0.0,1.0,5.0,True,2.0,http://myneta.info/compare_profile.php?group_id=5QJ4j9VBHiyNPJhGoiy
83,1,53,3120000.0,384,0,5,400000,candidate.php?candidate_id=8181,C.V.Sarada Devi,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8181,0.0,0.0,0.0,,,,,,,
84,2,34,2741859.0,384,1,1,0,candidate.php?candidate_id=8904,Juluri Bhaskara Veera Venkata Anil Kumar Gupta,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8904,1.0,0.0,0.0,"['2014', '2014']",0.0,0.0,2014.0,False,2.0,http://myneta.info/compare_profile.php?group_id=knFpvwpSitoipSwr4SK
85,3,68,5968041.0,384,0,2,980000,candidate.php?candidate_id=8902,Kamarushi Veera Venkata Satyanarayana,378,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8902,0.0,0.0,0.0,,,,,,,
86,4,50,10318671.0,384,0,1,0,candidate.php?candidate_id=8176,Korukonda Vijaya Lakshmi Pandit,312,1,0,2014,http://myneta.info/ls2014/candidate.php?candidate_id=8176,0.0,0.0,0.0,"['2014', '2014']",0.0,0.0,2014.0,False,2.0,http://myneta.info/compare_profile.php?group_id=gsrDdofKTkfx8iPFcA
