,district,state,thelink,year
0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,index.php?action=show_candidates&constituency_id=123,2014
1,AMALAPURAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=143,2014
2,ANAKAPALLE,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=22,2014
3,ANANTAPUR,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=155,2014
4,ARAKU,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=18,2014
5,BAPATLA,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=151,2014
6,CHITTOOR,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=161,2014
7,ELURU,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=146,2014
8,GUNTUR,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=149,2014
9,HINDUPUR,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=156,2014
10,KADAPA,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=157,2014
11,KAKINADA,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=142,2014
12,KURNOOL,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=154,2014
13,MACHILIPATNAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=147,2014
14,NANDYAL,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=153,2014
15,NARASARAOPET,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=150,2014
16,NARSAPURAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=145,2014
17,NELLORE,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=158,2014
18,ONGOLE,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=152,2014
19,RAJAHMUNDRY,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=144,2014
20,RAJAMPET,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=160,2014
21,SRIKAKULAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=19,2014
22,TIRUPATI,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=159,2014
23,VIJAYAWADA,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=148,2014
24,VISAKHAPATNAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=21,2014
25,VIZIANAGARAM,ANDHRA PRADESH,index.php?action=show_candidates&constituency_id=20,2014
26,ARUNACHAL EAST,ARUNACHAL PRADESH,index.php?action=show_candidates&constituency_id=24,2014
27,ARUNACHAL WEST,ARUNACHAL PRADESH,index.php?action=show_candidates&constituency_id=23,2014
28,AUTONOMOUS DISTRICT,ASSAM,index.php?action=show_candidates&constituency_id=27,2014
29,BARPETA,ASSAM,index.php?action=show_candidates&constituency_id=164,2014
30,DHUBRI,ASSAM,index.php?action=show_candidates&constituency_id=162,2014
31,DIBRUGARH,ASSAM,index.php?action=show_candidates&constituency_id=171,2014
32,GAUHATI,ASSAM,index.php?action=show_candidates&constituency_id=165,2014
33,JORHAT,ASSAM,index.php?action=show_candidates&constituency_id=170,2014
34,KALIABOR,ASSAM,index.php?action=show_candidates&constituency_id=169,2014
35,KARIMGANJ,ASSAM,index.php?action=show_candidates&constituency_id=25,2014
36,KOKRAJHAR,ASSAM,index.php?action=show_candidates&constituency_id=163,2014
37,LAKHIMPUR,ASSAM,index.php?action=show_candidates&constituency_id=172,2014
38,MANGALDOI,ASSAM,index.php?action=show_candidates&constituency_id=166,2014
39,NOWGONG,ASSAM,index.php?action=show_candidates&constituency_id=168,2014
40,SILCHAR,ASSAM,index.php?action=show_candidates&constituency_id=26,2014
41,TEZPUR,ASSAM,index.php?action=show_candidates&constituency_id=167,2014
42,ARARIA,BIHAR,index.php?action=show_candidates&constituency_id=304,2014
43,ARRAH,BIHAR,index.php?action=show_candidates&constituency_id=32,2014
44,AURANGABAD,BIHAR,index.php?action=show_candidates&constituency_id=37,2014
45,BANKA,BIHAR,index.php?action=show_candidates&constituency_id=312,2014
46,BEGUSARAI,BIHAR,index.php?action=show_candidates&constituency_id=309,2014
47,BHAGALPUR,BIHAR,index.php?action=show_candidates&constituency_id=311,2014
48,BUXAR,BIHAR,index.php?action=show_candidates&constituency_id=33,2014
49,DARBHANGA,BIHAR,index.php?action=show_candidates&constituency_id=180,2014
50,GAYA,BIHAR,index.php?action=show_candidates&constituency_id=38,2014
51,GOPALGANJ,BIHAR,index.php?action=show_candidates&constituency_id=28,2014
52,HAJIPUR,BIHAR,index.php?action=show_candidates&constituency_id=183,2014
53,JAHANABAD,BIHAR,index.php?action=show_candidates&constituency_id=36,2014
54,JAMUI,BIHAR,index.php?action=show_candidates&constituency_id=40,2014
55,JHANJHARPUR,BIHAR,index.php?action=show_candidates&constituency_id=179,2014
56,KARAKAT,BIHAR,index.php?action=show_candidates&constituency_id=35,2014
57,KATIHAR,BIHAR,index.php?action=show_candidates&constituency_id=306,2014
58,KHAGARIA,BIHAR,index.php?action=show_candidates&constituency_id=310,2014
59,KISHANGANJ,BIHAR,index.php?action=show_candidates&constituency_id=305,2014
60,MADHEPURA,BIHAR,index.php?action=show_candidates&constituency_id=308,2014
61,MADHUBANI,BIHAR,index.php?action=show_candidates&constituency_id=178,2014
62,MAHARAJGANJ,BIHAR,index.php?action=show_candidates&constituency_id=30,2014
63,MUNGER,BIHAR,index.php?action=show_candidates&constituency_id=313,2014
64,MUZAFFARPUR,BIHAR,index.php?action=show_candidates&constituency_id=181,2014
65,NALANDA,BIHAR,index.php?action=show_candidates&constituency_id=373,2014
66,NAWADA,BIHAR,index.php?action=show_candidates&constituency_id=39,2014
67,PASCHIM CHAMPARAN,BIHAR,index.php?action=show_candidates&constituency_id=174,2014
68,PATALIPUTRA,BIHAR,index.php?action=show_candidates&constituency_id=375,2014
69,PATNA SAHIB,BIHAR,index.php?action=show_candidates&constituency_id=374,2014
70,PURNIA,BIHAR,index.php?action=show_candidates&constituency_id=307,2014
71,PURVI CHAMPARAN,BIHAR,index.php?action=show_candidates&constituency_id=175,2014
72,SAMASTIPUR,BIHAR,index.php?action=show_candidates&constituency_id=185,2014
73,SARAN,BIHAR,index.php?action=show_candidates&constituency_id=31,2014
74,SASARAM,BIHAR,index.php?action=show_candidates&constituency_id=34,2014
75,SHEOHAR,BIHAR,index.php?action=show_candidates&constituency_id=176,2014
76,SITAMARHI,BIHAR,index.php?action=show_candidates&constituency_id=177,2014
77,SIWAN,BIHAR,index.php?action=show_candidates&constituency_id=29,2014
78,SUPAUL,BIHAR,index.php?action=show_candidates&constituency_id=303,2014
79,UJIARPUR,BIHAR,index.php?action=show_candidates&constituency_id=184,2014
80,VAISHALI,BIHAR,index.php?action=show_candidates&constituency_id=182,2014
81,VALMIKI NAGAR,BIHAR,index.php?action=show_candidates&constituency_id=173,2014
82,CHANDIGARH,CHANDIGARH,index.php?action=show_candidates&constituency_id=542,2014
83,BASTAR,CHHATTISGARH,index.php?action=show_candidates&constituency_id=115,2014
84,BILASPUR,CHHATTISGARH,index.php?action=show_candidates&constituency_id=110,2014
85,DURG,CHHATTISGARH,index.php?action=show_candidates&constituency_id=112,2014
86,JANJGIR-CHAMPA,CHHATTISGARH,index.php?action=show_candidates&constituency_id=108,2014
87,KANKER,CHHATTISGARH,index.php?action=show_candidates&constituency_id=116,2014
88,KORBA,CHHATTISGARH,index.php?action=show_candidates&constituency_id=109,2014
89,MAHASAMUND,CHHATTISGARH,index.php?action=show_candidates&constituency_id=114,2014
90,RAIGARH,CHHATTISGARH,index.php?action=show_candidates&constituency_id=107,2014
91,RAIPUR,CHHATTISGARH,index.php?action=show_candidates&constituency_id=113,2014
92,RAJNANDGAON,CHHATTISGARH,index.php?action=show_candidates&constituency_id=111,2014
93,SURGUJA,CHHATTISGARH,index.php?action=show_candidates&constituency_id=106,2014
94,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,index.php?action=show_candidates&constituency_id=371,2014
95,DAMAN & DIU,DAMAN & DIU,index.php?action=show_candidates&constituency_id=372,2014
96,NORTH GOA,GOA,index.php?action=show_candidates&constituency_id=186,2014
97,SOUTH GOA,GOA,index.php?action=show_candidates&constituency_id=187,2014
98,AHMEDABAD EAST,GUJARAT,index.php?action=show_candidates&constituency_id=272,2014
99,AHMEDABAD WEST,GUJARAT,index.php?action=show_candidates&constituency_id=273,2014
100,AMRELI,GUJARAT,index.php?action=show_candidates&constituency_id=279,2014
101,ANAND,GUJARAT,index.php?action=show_candidates&constituency_id=281,2014
102,BANASKANTHA,GUJARAT,index.php?action=show_candidates&constituency_id=267,2014
103,BARDOLI,GUJARAT,index.php?action=show_candidates&constituency_id=288,2014
104,BHARUCH,GUJARAT,index.php?action=show_candidates&constituency_id=287,2014
105,BHAVNAGAR,GUJARAT,index.php?action=show_candidates&constituency_id=280,2014
