,detail,url
0,Brief Details of IPCs 1 charges related to Being member of an unlawful assembly (IPC Section-143,http://myneta.info/ls2009/candidate.php?candidate_id=1245
1,1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188,http://myneta.info/ls2009/candidate.php?candidate_id=1245
2,1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34),http://myneta.info/ls2009/candidate.php?candidate_id=1245
3,Brief Details of IPCs 1 charges related to Attempt to murder (IPC Section-307,http://myneta.info/ls2014/candidate.php?candidate_id=9488
4,"1 charges related to Rioting, armed with deadly weapon (IPC Section-148",http://myneta.info/ls2014/candidate.php?candidate_id=9488
5,1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149,http://myneta.info/ls2014/candidate.php?candidate_id=9488
6,1 charges related to Mischief (IPC Section-425,http://myneta.info/ls2014/candidate.php?candidate_id=9488
7,1 charges related to  rioting (IPC Section-147),http://myneta.info/ls2014/candidate.php?candidate_id=9488
8,Brief Details of IPCs 3 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
9,2 charges related to Forgery for purpose of cheating (IPC Section-468,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
10,2 charges related to Using as genuine a forged document or electronic record (IPC Section-471,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
11,2 charges related to Punishment of criminal conspiracy (IPC Section-120B,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
12,2 charges related to Abettor present when offence is committed (IPC Section-114,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
13,2 charges related to Dishonestly breaking open receptacle containing property (IPC Section-461,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
14,1 charges related to  defamation (IPC Section-500,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
15,1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34),http://myneta.info/loksabha2004/candidate.php?candidate_id=2407
