,IPC_sections,Other,serial_no,type,url,year_election
0,"[143, 188, 34]"," India Penal Code Case No GR-969/2004 ,Date 29.08.2005 The court of Prabhakar singh ,Judicial Magistrate ,Ranchi  ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=1245,2009
1,"[147, 148, 149, 307, 425]"," 3rd ADJ,Sonbhadra,No-144/08,Date 12/07/2008 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=9488,2014
2,[r/w 420]," 27,33A,35  ", 1,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
3,"[120B, 420, 114, 461, 468, 471]",  , 2,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
4,"[420, 120B, 114, 461, 468, 471]",  , 3,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
5,"[u/s 500, 34]",  , 4,Cogniz,http://myneta.info/loksabha2004/candidate.php?candidate_id=2407,2004
6,"[323, 341]"," Case No. 950C/05, Sri P.K.Sinha ", 1,Cogniz,http://myneta.info/ls2009/candidate.php?candidate_id=5055,2009
7,[]," 154 Cr.pc, Chief Judicical Magistrate Court Kozhikkode CC No .45/2012 10.01.2012 ,Kasaba Police station, Kozhikkode, Kerala -257/2011 ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=264,2014
8,"[143, 147, 283, 149]"," JFCM IV Kozhikode ,CC 1217/2013(Nadakkavu Cr.390/13)30-08-2013, Alleged that they conducted Procesion and meeting on the public road by causing obstruction to the public and vechicles within the limits of Nadakkavu Police station ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=265,2014
9,"[143, 147, 149, 435, 288]"," Sec.4(1)r/w 6 of Kerala Public Ways Act, Sec.39 r/w 12 of K.P.Act, JFCM IV Vanchiyoor,CC844/2013(Cantoment PS Cr.905/12)11-04-2013 Alleged tha in the banner of AIKS Accused No 1 to 6 and other identifiable 44 persons formed un law full assembly at public road which lead fron Palayam side,Vachiyoor Village,Thambannor Ward to pulimood side and Obstructed the public and vechicles and shouted slogans and burnt coconut valued for rupees 500/- with petrol ", 2,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=265,2014
10,[]," ADDITIONAL CHIEF METO. COURT, DISA COURT. CRIMINAL CASE NO.:-411/2009. CASE IS PENDING. SECTION 66(1)B, 85(2)(3)UNDER BOMBAY PROHIBITION ACT 
 ", 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7294,2014
11,"[448, 427, 506, 34, 147, 323, 452, 385, 149]"," 7(1) Of Criminal Law Amendment Act 1932 ,C.C No. 510 Of 2009 On The File Of Honorable JFCM Court Shadnagar In Crime No. 307/2009 Of P.S Shadnagar, Mahabubnagar District AP, Unlawful Assembly Mischief Causing Damage Uespass, Putring A Person In Fear Of Injury, JFCM shadnagar ", 1,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
12,"[448, 427, 506, 34]"," C.C No. 509 Of 2009 On The File Of Honorable JFCM Court Shadnagar In Crime No. 309/2009 Of PB Shadnagar Mahabubnagar District, Criminal Freepass, Mischief Causing Damage, Criminal Intimidation With Common Ittention, JFCM Shadnagar ", 2,Framed,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
13,"[188, 143, 341, 34]", JFCM Mahabubnagar C.C No. 180/2014 On 03.03.2014 , 1,Cogniz,http://myneta.info/ls2014/candidate.php?candidate_id=7927,2014
