,Agricultural Land,Commercial Buildings,Non Agricultural Land,Others,Residential Buildings,TOTAL_IMMOVABLE_ASSESTS,Total Current Market Value of (i) to (v) (as per Affidavit),url,year
http://myneta.info/loksabha2004/candidate.php?candidate_id=1,846000.0,,64580.0,,1950000.0,2860580.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=10,3000000.0,,,,,3000000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=10,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=100,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=100,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1002,13580000.0,2282000.0,5516900.0,184125.0,355000.0,21918025.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1002,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1003,2813000.0,570000.0,1414000.0,250000.0,1474000.0,6521000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1003,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1004,760000.0,,,,10000.0,770000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1004,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1005,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1005,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1012,28863600.0,6000000.0,8859000.0,,7540000.0,51262600.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1012,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1013,,4520000.0,,0.0,11000000.0,15520000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1013,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1014,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1014,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1015,3770000.0,2667500.0,,160000.0,,6597500.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1015,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1016,,9517295.0,1037050.0,,,10554345.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1016,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1017,,4000000.0,7500000.0,,500000.0,12000000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1017,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1019,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1019,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1020,200000.0,110000.0,,450000.0,,760000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1020,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1021,4000000.0,1225000.0,900000.0,375000.0,1000000.0,7500000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1021,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1022,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1022,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1024,100000.0,400000.0,1355000.0,125000.0,1200000.0,3180000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1024,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1025,,1000000.0,1000000.0,,1500000.0,3500000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1025,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1026,,700000.0,700000.0,,900000.0,2300000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1026,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1027,,,,,1650000.0,1650000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1027,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1028,,1000000.0,,,,1000000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1028,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1029,,500000.0,,,1900000.0,2400000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1029,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=103,400000.0,,,,500000.0,900000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=103,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1030,100000.0,,,2000.0,60000.0,162000.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1030,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1031,,3202743.0,,2467000.0,,5669743.0,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1031,2004.0
