,HHinc,HHDeclarations,self_declare,self_inc
candidate.php?candidate_id=10,,0,,
candidate.php?candidate_id=100,31990610.0,2,Y,26161550.0
candidate.php?candidate_id=1000,200000.0,1,Y,200000.0
candidate.php?candidate_id=1001,0.0,1,Y,0.0
candidate.php?candidate_id=1002,0.0,1,Y,0.0
candidate.php?candidate_id=1003,0.0,1,Y,0.0
candidate.php?candidate_id=1004,0.0,1,Y,0.0
candidate.php?candidate_id=1005,176229.0,1,Y,176229.0
candidate.php?candidate_id=1006,0.0,2,Y,0.0
candidate.php?candidate_id=1008,0.0,1,Y,0.0
candidate.php?candidate_id=1009,0.0,1,Y,0.0
candidate.php?candidate_id=101,1254975.0,2,Y,1056575.0
candidate.php?candidate_id=1010,,0,,
candidate.php?candidate_id=1011,0.0,1,Y,0.0
candidate.php?candidate_id=1012,0.0,1,Y,0.0
candidate.php?candidate_id=1013,146424120.0,5,Y,6266140.0
candidate.php?candidate_id=1014,,0,,
candidate.php?candidate_id=1015,301440.0,1,Y,301440.0
candidate.php?candidate_id=1016,380000.0,2,Y,200000.0
candidate.php?candidate_id=1017,195730.0,1,Y,195730.0
candidate.php?candidate_id=1018,736343.0,2,Y,709650.0
candidate.php?candidate_id=1019,,0,,
candidate.php?candidate_id=102,776100.0,2,Y,215600.0
candidate.php?candidate_id=1020,0.0,1,Y,0.0
candidate.php?candidate_id=1021,0.0,1,Y,0.0
candidate.php?candidate_id=1023,,0,,
candidate.php?candidate_id=1025,150000.0,2,Y,150000.0
candidate.php?candidate_id=1027,,0,,
candidate.php?candidate_id=1028,0.0,1,Y,0.0
candidate.php?candidate_id=1029,186570.0,1,Y,186570.0
candidate.php?candidate_id=103,2884833.0,3,Y,2022000.0
candidate.php?candidate_id=1030,100000.0,1,Y,100000.0
candidate.php?candidate_id=1031,,0,,
candidate.php?candidate_id=1034,,0,,
candidate.php?candidate_id=1035,0.0,2,Y,0.0
candidate.php?candidate_id=1036,0.0,1,Y,0.0
candidate.php?candidate_id=1037,,0,,
candidate.php?candidate_id=1038,0.0,2,Y,0.0
candidate.php?candidate_id=104,1865050.0,3,Y,1298530.0
candidate.php?candidate_id=1041,8653920.0,3,Y,600000.0
candidate.php?candidate_id=1042,,0,,
candidate.php?candidate_id=1043,0.0,1,Y,0.0
candidate.php?candidate_id=1044,520961.0,1,Y,520961.0
candidate.php?candidate_id=1045,746770.0,4,Y,277030.0
candidate.php?candidate_id=1046,11920830.0,2,Y,10937470.0
candidate.php?candidate_id=1047,1590300.0,2,Y,1160740.0
candidate.php?candidate_id=1048,1068300.0,1,Y,1068300.0
candidate.php?candidate_id=105,1063613.0,2,Y,574465.0
candidate.php?candidate_id=1050,399100.0,2,Y,203330.0
candidate.php?candidate_id=1051,0.0,2,Y,0.0
candidate.php?candidate_id=1052,12617827.0,2,Y,11120170.0
candidate.php?candidate_id=1054,10244307.0,2,Y,9853777.0
candidate.php?candidate_id=1056,200610.0,1,Y,200610.0
candidate.php?candidate_id=1057,0.0,1,Y,0.0
candidate.php?candidate_id=1058,0.0,1,Y,0.0
candidate.php?candidate_id=1059,0.0,1,Y,0.0
candidate.php?candidate_id=106,0.0,1,Y,0.0
candidate.php?candidate_id=1060,0.0,1,Y,0.0
candidate.php?candidate_id=1061,0.0,2,Y,0.0
candidate.php?candidate_id=1062,0.0,2,Y,0.0
candidate.php?candidate_id=1063,442600.0,2,Y,442600.0
candidate.php?candidate_id=1064,918520.0,1,Y,918520.0
candidate.php?candidate_id=1067,0.0,1,Y,0.0
candidate.php?candidate_id=1068,,0,,
candidate.php?candidate_id=107,2649919.0,3,Y,1989477.0
candidate.php?candidate_id=1070,18010133.0,2,Y,12893092.0
candidate.php?candidate_id=1071,1331048.0,3,Y,811610.0
candidate.php?candidate_id=1073,0.0,1,Y,0.0
candidate.php?candidate_id=1074,,0,,
candidate.php?candidate_id=1075,554030.0,2,Y,554030.0
candidate.php?candidate_id=1077,869600.0,2,Y,650000.0
candidate.php?candidate_id=1078,0.0,2,Y,0.0
candidate.php?candidate_id=108,600000.0,1,Y,600000.0
candidate.php?candidate_id=1080,180000.0,1,Y,180000.0
candidate.php?candidate_id=1081,,0,,
candidate.php?candidate_id=1082,,0,,
candidate.php?candidate_id=1083,0.0,1,Y,0.0
candidate.php?candidate_id=1084,,0,,
candidate.php?candidate_id=1085,915828.0,2,Y,168000.0
candidate.php?candidate_id=1086,451882.0,1,Y,451882.0
