liab_accom,liab_banks/fis,liab_elec,liab_other,liab_tax_income,liab_tax_prop,liab_tax_sales,liab_tax_wealth,liab_tel,liab_total,liab_transp,liab_water,url
,,,156695.84,,,,,,156695.84,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3453
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=628
,750000.0,,,42842.0,,,,,792842.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1647
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1646
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1645
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1644
,700000.0,,,,,,,,700000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1643
,2241000.0,,,,,,,,2241000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1642
,1000000.0,,,,,,,,1000000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1641
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3139
,,,129820.0,,,,,6317.0,136137.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1649
,,,,60800.0,,,25187.0,,85987.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1648
,192000.0,,,,,,,,192000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=3138
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=5098
,,,,,,,,271125.0,271125.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1082
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5096
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5097
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5094
,,100000.0,,0.0,,,,32530.0,132530.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5095
,,,103926.0,53973.0,,,,,3881919.14,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=1089
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5093
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5090
90.0,45000.0,,,,20000.0,,,27504.0,92594.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5091
,,,,,,64960.0,,,2408285.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2295
,70000.0,,,,,,,,70000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2294
,1250000.0,,,,13468.0,,,,1263468.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2297
,,,,,,,,,135000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2296
,,,,20000.0,,,,,1200000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2291
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2290
,55000.0,,,,,,,,55000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2292
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2403
,30000.0,,,,,,,,30000.0,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2299
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=2298
,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=5418
