,"Bonds, Debentures and Shares in companies",Cash,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies",Gross Total Value (as per Affidavit),Jewellery (give details weight value),LIC or other insurance Policies,"Motor Vehicles (details of make, etc.)","NSS, Postal Savings etc","Other assets, such as values of claims / interests",Personal loans/advance given,TOTAL_MOVABLE_ASSESTS,Totals (Calculated as Sum of Values),url,year
http://myneta.info/loksabha2004/candidate.php?candidate_id=1,,70500.0,1519565.0,,128501.0,350000.0,410000.0,316155.0,621439.0,,3416160.0,3066160.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=10,,70000.0,,,0.0,450000.0,0.0,,0.0,,520000.0,70000.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=10,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=100,,,,,,,,,,,,,http://myneta.info/loksabha2004/candidate.php?candidate_id=100,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1002,2000.0,143000.0,3545430.0,,272750.0,1550000.0,1407955.0,,1330000.0,,8251135.0,6701135.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1002,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1003,,10000.0,1477998.0,,600000.0,600000.0,491147.0,,145997.0,,3325142.0,2725142.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1003,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1004,,10000.0,36000.0,,25000.0,150000.0,0.0,,,,221000.0,71000.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1004,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1005,,26500.0,3000.0,,50000.0,,0.0,,,,79500.0,79500.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1005,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1012,,375000.0,2849751.0,,300000.0,,0.0,,,,3524751.0,3524751.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1012,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1013,12685000.0,200000.0,91118.0,,70000.0,100000.0,,,10150.0,,13156268.0,13056268.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1013,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1014,500.0,,,,,,0.0,,,,500.0,500.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1014,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1015,1460000.0,40000.0,4404.0,,324000.0,600000.0,0.0,,250000.0,,2678404.0,2078404.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1015,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1016,2018610.0,45000.0,3201047.25,,1798500.0,,2594597.53,36000000.0,12037361.75,,,57695116.53,http://myneta.info/loksabha2004/candidate.php?candidate_id=1016,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1017,,72000.0,2500.0,,25000.0,,0.0,25000.0,116800.0,,241300.0,241300.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1017,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1019,,15000.0,,,40500.0,,0.0,100000.0,,,155500.0,155500.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1019,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1020,,56000.0,20000.0,,93960.0,,0.0,,,,169960.0,169960.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1020,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1021,,20000.0,352.0,,300000.0,,213000.0,,,,533352.0,533352.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1021,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1022,,,,,3240.0,,,,,,3240.0,3240.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1022,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1024,75000.0,25000.0,655934.0,,315000.0,700000.0,136795.0,29600.0,120000.0,,2057329.0,1357329.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1024,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1025,10380013.0,50000.0,3123840.66,,100000.0,1636665.0,0.0,,,,,13653853.66,http://myneta.info/loksabha2004/candidate.php?candidate_id=1025,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1026,40000.0,40000.0,328763.17,,40000.0,100000.0,0.0,11500.0,,,,460263.17,http://myneta.info/loksabha2004/candidate.php?candidate_id=1026,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1027,16000.0,40000.0,,,250000.0,,0.0,50000.0,,,356000.0,356000.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1027,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1028,120000.0,72000.0,156000.0,,153600.0,400000.0,0.0,300000.0,,,1201600.0,801600.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1028,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1029,,35000.0,25000.0,,129500.0,270000.0,286000.0,99000.0,,,844500.0,574500.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1029,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=103,,,,,,,0.0,,,,0.0,0.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=103,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1030,0.0,,1400000.0,,43500.0,50000.0,4000.0,,,,1497500.0,1447500.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1030,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1031,381911.0,148963.0,1286264.0,,559700.0,724230.0,85500.0,976236.0,1179614.0,,5342418.0,4618188.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1031,2004.0
http://myneta.info/loksabha2004/candidate.php?candidate_id=1041,295500.0,400000.0,30700.0,,366470.0,112672.0,1000000.0,362339.0,15000.0,,2582681.0,2470009.0,http://myneta.info/loksabha2004/candidate.php?candidate_id=1041,2004.0
