,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
0,71,Hazaribagh,Yes,Post Graduate,YASHWANT SINHA in Lok Sabha 2009,1,Y,BJP,36576217,0,http://myneta.info/compare_profile.php?group_id=6ZTQyN2EV2kbL4FLA8dP,http://myneta.info/ls2009/candidate.php?candidate_id=1245
1,66,Hazaribagh,No,Post Graduate,YASHWANT SINHA in Lok Sabha 2004,0,Y,BJP,15637769,0,http://myneta.info/compare_profile.php?group_id=6ZTQyN2EV2kbL4FLA8dP,http://myneta.info/loksabha2004/candidate.php?candidate_id=1529
2,78,SHIMLA RURAL,Yes,Post Graduate,Virbhadra Singh in Himachal Pradesh 2012,1,Y,INC,336564971,2402720,http://myneta.info/compare_profile.php?group_id=gArPqXstmp37fFKHV4nx,http://myneta.info/hp2012/candidate.php?candidate_id=221
3,0,MINISTER,No,Not Given,Shri Virbhadra Singh in Union Council of Ministers  2011,0,N,INC,222299608,0,http://myneta.info/compare_profile.php?group_id=gArPqXstmp37fFKHV4nx,http://myneta.info/unionministers2011/candidate.php?candidate_id=7
4,75,Mandi,No,Post Graduate,VIRBHADRA SINGH in Lok Sabha 2009,0,Y,INC,225228748,628864,http://myneta.info/compare_profile.php?group_id=gArPqXstmp37fFKHV4nx,http://myneta.info/ls2009/candidate.php?candidate_id=7830
5,73,Rohru (Before Bye - Election),Yes,Post Graduate,VIRBHADRA SINGH  in Himachal 2007,2,Y,INC,241897362,1270472,http://myneta.info/compare_profile.php?group_id=gArPqXstmp37fFKHV4nx,http://myneta.info/him2007/candidate.php?candidate_id=81
6,67,VADAKARA,No,Post Graduate,Mullappally Ramachandran in Loksabha 2014,0,Y,INC,9225000,2160000,http://myneta.info/compare_profile.php?group_id=iTaSLQyEYeuHrqiqDu4S,http://myneta.info/ls2014/candidate.php?candidate_id=260
7,0,MINISTER,No,Not Given,Shri Mullappally Ramachandran in Union Council of Ministers  2011,0,N,INC,9540050,1221000,http://myneta.info/compare_profile.php?group_id=iTaSLQyEYeuHrqiqDu4S,http://myneta.info/unionministers2011/candidate.php?candidate_id=42
8,65,Vadakara,No,Post Graduate,Mullappally Ramachandran in Lok Sabha 2009,0,N,INC,3316300,502346,http://myneta.info/compare_profile.php?group_id=iTaSLQyEYeuHrqiqDu4S,http://myneta.info/ls2009/candidate.php?candidate_id=1451
9,60,Cannanore,No,Post Graduate,MULLAPPALLY RAMACHANDRAN in Lok Sabha 2004,0,N,INC,3005122,0,http://myneta.info/compare_profile.php?group_id=iTaSLQyEYeuHrqiqDu4S,http://myneta.info/loksabha2004/candidate.php?candidate_id=1847
10,44,MAHBUBNAGAR,Yes,12th Pass,Ibrahim Syed	 in Loksabha 2014,7,Y,IND,310625000,56406000,http://myneta.info/compare_profile.php?group_id=TocUJMWaodqkbbuGPE2R,http://myneta.info/ls2014/candidate.php?candidate_id=7927
11,44,MAHBUBNAGAR,Yes,12th Pass,Ibrahim Syed in Telangana 2014,7,Y,IND,310625500,56406000,http://myneta.info/compare_profile.php?group_id=TocUJMWaodqkbbuGPE2R,http://myneta.info/telangana2014/candidate.php?candidate_id=932
12,42,MAHBUBNAGAR : BYE ELECTION ON 18-03-2012,Yes,12th Pass,Ibrahim Syed  in Andhra Pradesh Bye Election,2,Y,TRS,167739500,52304000,http://myneta.info/compare_profile.php?group_id=TocUJMWaodqkbbuGPE2R,http://myneta.info/apbye/candidate.php?candidate_id=7
13,39,MAHBUBNAGAR,No,10th Pass,Syed Ibrahim in Andhra Pradesh 2009,0,Y,TRS,50431756,12235400,http://myneta.info/compare_profile.php?group_id=TocUJMWaodqkbbuGPE2R,http://myneta.info/ap09/candidate.php?candidate_id=275
14,58,ANAND,No,8th Pass,Parmar Hitendrasinh Mohansinh in Loksabha 2014,0,Y,Bharatiya National Janta Dal,1095800,0,http://myneta.info/compare_profile.php?group_id=Nw8qXMYrnLCpgpkZckG,http://myneta.info/ls2014/candidate.php?candidate_id=7290
15,58,ANAND : BYE- ELECTION ON 13-09-2014,No,8th Pass,Hitendrasinh Mohansinh Parmar in Gujarat Bye Election 2014,0,Y,Bharatiya National Janta Dal,1031800,0,http://myneta.info/compare_profile.php?group_id=Nw8qXMYrnLCpgpkZckG,http://myneta.info/gujaratbye2014/candidate.php?candidate_id=147
16,56,PETLAD,No,8th Pass,Hitendrasinh Mohansinh Parmar in Gujarat 2012,0,Y,SP,1080800,0,http://myneta.info/compare_profile.php?group_id=Nw8qXMYrnLCpgpkZckG,http://myneta.info/gujarat2012/candidate.php?candidate_id=1988
17,60,MAHBUBNAGAR,No,12th Pass,S.R.Premaiah in Loksabha 2014,0,Y,Pyramid Party of India,611000,0,http://myneta.info/compare_profile.php?group_id=9Jh92dH8pkYUiEztHjJV,http://myneta.info/ls2014/candidate.php?candidate_id=7925
18,58,MAHBUBNAGAR : BYE ELECTION ON 18-03-2012,No,12th Pass,S. R. Premaiah in Andhra Pradesh Bye Election,0,Y,Pyramid Party of India,472000,0,http://myneta.info/compare_profile.php?group_id=9Jh92dH8pkYUiEztHjJV,http://myneta.info/apbye/candidate.php?candidate_id=12
19,72,MAHBUBNAGAR,No,Post Graduate,Jaipal Reddy Sudini in Loksabha 2014,0,Y,INC,99602120,4600000,http://myneta.info/compare_profile.php?group_id=4RKNChX5EfVgVcXhKNHs,http://myneta.info/ls2014/candidate.php?candidate_id=7924
20,67,Chevella,No,Post Graduate,Sudini Jaipal Reddy in Lok Sabha 2009,0,Y,INC,56150333,2042919,http://myneta.info/compare_profile.php?group_id=4RKNChX5EfVgVcXhKNHs,http://myneta.info/ls2009/candidate.php?candidate_id=536
21,62,Miryalguda,No,Post Graduate,JAIPAL REDDY SUDINI in Lok Sabha 2004,0,Y,INC,12264007,1546865,http://myneta.info/compare_profile.php?group_id=4RKNChX5EfVgVcXhKNHs,http://myneta.info/loksabha2004/candidate.php?candidate_id=146
22,59,Idukki,No,Post Graduate,Adv P T Thomas in Lok Sabha 2009,0,Y,INC,3984094,448284,http://myneta.info/compare_profile.php?group_id=X88T9daUhgppqibduEHY,http://myneta.info/ls2009/candidate.php?candidate_id=1567
23,55,Thodupuzha,No,Post Graduate,ADV P T THOMAS in Kerala 2006,0,N,INC,2466233,301144,http://myneta.info/compare_profile.php?group_id=X88T9daUhgppqibduEHY,http://myneta.info/ker2006/candidate.php?candidate_id=160
24,40,BHAGALPUR,Yes,Graduate,Abu Qaiser in Loksabha 2014,1,Y,JD(U),45138014,1700000,http://myneta.info/compare_profile.php?group_id=QocCpUoUkEGeE6rJNK3b,http://myneta.info/ls2014/candidate.php?candidate_id=4475
25,36,Nathnagar,Yes,Graduate Professional,Abu Kaishar in Bihar 2010,1,Y,RJD,14613807,0,http://myneta.info/compare_profile.php?group_id=QocCpUoUkEGeE6rJNK3b,http://myneta.info/bih2010/candidate.php?candidate_id=1616
26,38,BHAGALPUR,Yes,12th Pass,Shailesh Kumar Urph Bulo Mandal in Loksabha 2014,1,Y,RJD,20216734,0,http://myneta.info/compare_profile.php?group_id=24nkuwCPEZPdwZf5zFk,http://myneta.info/ls2014/candidate.php?candidate_id=4470
27,30,Bihpur,Yes,12th Pass,Shailesh Kumar (Bulo Mandal) in Bihar 2010,1,Y,RJD,4121310,0,http://myneta.info/compare_profile.php?group_id=24nkuwCPEZPdwZf5zFk,http://myneta.info/bih2010/candidate.php?candidate_id=1593
28,31,Bihpur,Yes,12th Pass,SHAILESH KUMAR ALIAS BULO MANDAL  in Bihar 2005,2,Y,RJD,1519655,681401,http://myneta.info/compare_profile.php?group_id=24nkuwCPEZPdwZf5zFk,http://myneta.info/bih2005/candidate.php?candidate_id=63
29,61,Udaipur,Yes,Post Graduate,MAHAVEER BHAGORA in Lok Sabha 2009,1,Y,BJP,6934001,0,http://myneta.info/compare_profile.php?group_id=asLHRvhoniNxz8RCw7Ns,http://myneta.info/ls2009/candidate.php?candidate_id=4824
30,52,Salumber,Yes,Post Graduate,MAHAVEER BHAGORA in Lok Sabha 2004,1,Y,BJP,3026777,0,http://myneta.info/compare_profile.php?group_id=asLHRvhoniNxz8RCw7Ns,http://myneta.info/loksabha2004/candidate.php?candidate_id=3276
