,age,CrimCases,Educ,Gender,ipclist,immov_total,mov_total,Name,nr_cases,pan,party,serious_cases,total_assets,total_liab,cons_id,consistuency,district,election,cand_id,cand_link,win,assets_old1,increase,name2,new_id,old_id,pct_change,elec_link,elec_link_old,assets_old2,liab_old2,year_prev_elect,win_prev_elect,tot_wins,incumbent,Cogniz,Convict,Framed,bonds,cash,accounts,jewels,insurance,vehicles,postal,other_mov,agri,commercial,nonagri,others,resid,Educ_clean,state
2,54.0,True,10th Pass,M,[],59202550,39707104,Bodimalla Gurunatha Reddy,4.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,98909654,10833792,282,Anantapur Urban,Anantapur,andhra2014,1886,http://myneta.info/andhra2014/candidate.php?candidate_id=1886,False,28238318.0,70671336.0,Bodimalla Gurunatha Reddy,1886.0,1998.0,250.0,http://myneta.info/andhra2014/candidate.php?candidate_id=1886,http://myneta.info/ap09/candidate.php?candidate_id=1998,28238318.0,508716.0,2009.0,1.0,2.0,True,,,4.0,5145420.0,764200.0,19928960.0,0.0,1403600.0,7769924.0,,4695000.0,27960000.0,,21107100.0,,10135450.0,Primary,Andhra
27,34.0,False,Graduate Professional,M,[],19670700,16626987,Kethireddy Venkata Rami Reddy,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,36297687,3387458,289,Dharmavaram,Anantapur,andhra2014,1906,http://myneta.info/andhra2014/candidate.php?candidate_id=1906,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1906,http://myneta.info/ap09/candidate.php?candidate_id=2083,8203120.0,387000.0,2009.0,1.0,1.0,True,,,,2405312.0,1140600.0,4014276.0,737960.0,,2500000.0,1629109.0,4200000.0,14670700.0,,,,5000000.0,Grad,Andhra
33,48.0,False,Graduate Professional,M,[],17500000,3856938,Nagu Ravindra Reddy,0.0,Y,IND,0.0,21356938,12619239,289,Dharmavaram,Anantapur,andhra2014,1891,http://myneta.info/andhra2014/candidate.php?candidate_id=1891,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1891,http://myneta.info/ap09/candidate.php?candidate_id=2096,4225000.0,0.0,2009.0,0.0,0.0,False,,,,,415660.0,14563.0,784600.0,,1098315.0,100000.0,1250000.0,,17500000.0,,,,Grad,Andhra
74,46.0,True,Graduate Professional,M,"[u' bribery(171E)', u'Murder(302)', u'Attempt to murder(307)', u'Voluntarily causing hurt by dangerous weapons or means(324)', u' theft(379)', u'Robbery, or dacoity, with attempt to cause death or grievous hurt(397)', u'Criminal breach of trust by public servant, or by banker, merchant or agent(409)', u'Dishonestly receiving stolen property(411)', u'Cheating and dishonestly inducing delivery of property(420)', u'Forgery of valuable security, will, etc.(467)', u'Forgery for purpose of cheating(468)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment(109)', u'Punishment of criminal conspiracy(120B)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u' wrongful restraint(341)', u'Assault or criminal force to deter public servant from discharge of his duty(353)', u' cheating by personation(419)', u'Mischief causing damage to the amount of fifty rupees(427)', u' house-trespass(448)', u'Using as genuine a forged document or electronic record(471)']",16500000,5866000,Kandikunta Venkata Prasad,6.0,Y,TDP,14.0,22366000,0,290,Kadiri,Anantapur,andhra2014,1958,http://myneta.info/andhra2014/candidate.php?candidate_id=1958,False,17489800.0,4876200.0,Kandikunta Venkata Prasad,1958.0,2107.0,28.0,http://myneta.info/andhra2014/candidate.php?candidate_id=1958,http://myneta.info/ap09/candidate.php?candidate_id=2107,17489800.0,4200000.0,2009.0,1.0,1.0,True,,,6.0,1000000.0,350000.0,6000.0,700000.0,2500000.0,,,1310000.0,,6000000.0,,10500000.0,,Grad,Andhra
113,37.0,False,Post Graduate,M,[],1900000,3935000,P Sreenath Reddy,0.0,Y,IND,0.0,5835000,0,288,Puttaparthi,Anantapur,andhra2014,1999,http://myneta.info/andhra2014/candidate.php?candidate_id=1999,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=1999,http://myneta.info/ap09/candidate.php?candidate_id=2426,1547500.0,98000.0,2009.0,0.0,0.0,False,,,,,100000.0,35000.0,,3200000.0,,,600000.0,700000.0,,1200000.0,,,Post_Grad,Andhra
114,62.0,True,Doctorate,M,"[u'Disobedience to order duly promulgated by public servant(188)', u'Danger or obstruction in public way or line of navigation(283)', u'Attempt to commit suicide(309)']",357036000,63430934,Palle Raghunatha Reddy,5.0,Y,TDP,0.0,420466934,31296039,288,Puttaparthi,Anantapur,andhra2014,2002,http://myneta.info/andhra2014/candidate.php?candidate_id=2002,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2002,http://myneta.info/ap09/candidate.php?candidate_id=2073,290935931.0,2123289.0,2009.0,1.0,1.0,True,5.0,,,1362401.0,150000.0,789029.0,11222948.0,4684096.0,,,5255000.0,32629000.0,271245000.0,55717000.0,,5210000.0,Post_Grad,Andhra
133,40.0,False,Graduate Professional,M,[],23500000,6481436,Thopudurthy Prakash Reddy,0.0,Y,Yuvajana Sramika Rythu Congress Party,0.0,29981436,25000,284,Raptadu,Anantapur,andhra2014,2024,http://myneta.info/andhra2014/candidate.php?candidate_id=2024,False,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2024,http://myneta.info/ap09/candidate.php?candidate_id=2022,1319268.0,280000.0,2009.0,0.0,0.0,False,,,,2246000.0,250000.0,181236.0,,2630200.0,,,1170000.0,3000000.0,,20500000.0,,,Grad,Andhra
138,50.0,True,Post Graduate,M,"[u' criminal intimidation(506)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u'Danger or obstruction in public way or line of navigation(283)', u'Act endangering life or personal safety of others(336)', u'Mischief causing damage to the amount of fifty rupees(427)']",23644000,5321327,Kalava Srinivasulu,6.0,Y,TDP,1.0,28965327,2439829,277,Rayadurg,Anantapur,andhra2014,2037,http://myneta.info/andhra2014/candidate.php?candidate_id=2037,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2037,http://myneta.info/loksabha2004/candidate.php?candidate_id=26,300320.0,88000.0,2004.0,0.0,0.0,False,6.0,,,90470.0,180000.0,127857.0,1698000.0,985000.0,,125000.0,2115000.0,1000000.0,,,,20050000.0,Post_Grad,Andhra
139,51.0,True,Post Graduate,M,"[u' bribery(171E)', u' criminal intimidation(506)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u'Attempt to commit suicide(309)', u'Mischief by destroying or moving, etc., a land- mark fixed by public authority(434)']",33076000,38069140,Kapu Ramachandra Reddy,7.0,Y,Yuvajana Sramika Rythu Congress Party,5.0,71145140,6782847,277,Rayadurg,Anantapur,andhra2014,2039,http://myneta.info/andhra2014/candidate.php?candidate_id=2039,False,49535363.0,21609777.0,Kapu Ramachandra Reddy,2039.0,1942.0,44.0,http://myneta.info/andhra2014/candidate.php?candidate_id=2039,http://myneta.info/ap09/candidate.php?candidate_id=1942,49535363.0,3442897.0,2009.0,1.0,2.0,True,7.0,,,157296.0,2064844.0,6191147.0,531092.0,326190.0,16604000.0,535000.0,7645647.0,5819000.0,1330000.0,8753000.0,,17174000.0,Post_Grad,Andhra
164,62.0,True,Graduate,M,"[u'Attempt to murder(307)', u'Voluntarily causing hurt by dangerous weapons or means(324)', u'Voluntarily causing hurt to deter public servant from his duty(332)', u'Theft in dwelling house, etc.(380)', u'Mischief by destroying or moving, etc., a land- mark fixed by public authority Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees(435)', u'Mischief by fire or explosive substance with intent to destroy house, etc.(436)', u'House-trespass after preparation for hurt, assault or wrongful restraint(452)', u' criminal intimidation(506)', u'Acts done by several persons in furtherance of common intention(34)', u'Being member of an unlawful assembly(143)', u' rioting(147)', u'Rioting, armed with deadly weapon(148)', u'Every member of unlawful assembly guilty of offence committed in prosecution of common object(149)', u'Disobedience to order duly promulgated by public servant(188)', u' wrongful restraint(341)', u'Assault or criminal force to deter public servant from discharge of his duty(353)', u'Mischief causing damage to the amount of fifty rupees(427)']",400330000,78589717,J.C.Prabhakar Reddy,10.0,Y,TDP,12.0,478919717,73302965,280,Tadpatri,Anantapur,andhra2014,2077,http://myneta.info/andhra2014/candidate.php?candidate_id=2077,True,,,,,,,http://myneta.info/andhra2014/candidate.php?candidate_id=2077,http://myneta.info/ap09/candidate.php?candidate_id=1981,52160000.0,1252599.0,2009.0,0.0,0.0,False,8.0,,2.0,21983215.5,2130300.0,703334.9,652718.0,100000.0,43243449.46,660000.0,9116700.0,59230000.0,,208100000.0,,133000000.0,Grad,Andhra
