,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
0,61,MAYNAGURI (SC) : BYE- ELECTION ON 17-04-2014,No,Graduate,Ananta Deb Adhikari in West Bengal Bye Election 2013,0,Y,AITC,7997023,0,http://myneta.info/compare_profile.php?group_id=uxDwEjLhQwDdGqnfSTC,http://myneta.info/westbengal2013bye/candidate.php?candidate_id=29
1,58,MAYNAGURI (SC),No,Graduate,Ananta Deb Adhikari in West Bengal 2011,0,Y,RSP,3952381,50000,http://myneta.info/compare_profile.php?group_id=uxDwEjLhQwDdGqnfSTC,http://myneta.info/westbengal2011/candidate.php?candidate_id=39
2,62,MADARIHAT (ST),No,10th Pass,Kumari Kujur in West Bengal 2011,0,Y,RSP,737223,143000,http://myneta.info/compare_profile.php?group_id=d5DTemqwiHUYgxcECBJm,http://myneta.info/westbengal2011/candidate.php?candidate_id=35
3,64,Madarihat,No,10th Pass,KUMARI KUJUR  in West Bengal 2006,0,Y,RSP,664868,77942,http://myneta.info/compare_profile.php?group_id=d5DTemqwiHUYgxcECBJm,http://myneta.info/wb2006/candidate.php?candidate_id=27
4,58,KALCHINI (ST),Yes,12th Pass,Paban Kumar Lakra in West Bengal 2011,1,Y,AITC,463890,90911,http://myneta.info/compare_profile.php?group_id=6GCx5CsZPxQ9i6vRhti9,http://myneta.info/westbengal2011/candidate.php?candidate_id=30
5,56,Alipurduars,No,12th Pass,Paban Kumar Lakra in Lok Sabha 2009,0,Y,AITC,112491,104949,http://myneta.info/compare_profile.php?group_id=6GCx5CsZPxQ9i6vRhti9,http://myneta.info/ls2009/candidate.php?candidate_id=4788
6,53,Kalchini,No,10th Pass,PABAN KUMAR LAKRA  in West Bengal 2006,0,Y,INC,39690,83968,http://myneta.info/compare_profile.php?group_id=6GCx5CsZPxQ9i6vRhti9,http://myneta.info/wb2006/candidate.php?candidate_id=22
7,62,ALIPURDUARS,Yes,Graduate,Deba Prasad Roy in West Bengal 2011,1,Y,INC,1255667,3001464,http://myneta.info/compare_profile.php?group_id=4sTMKR4HCPVRG8EhY3Lc,http://myneta.info/westbengal2011/candidate.php?candidate_id=32
8,57,Jalpaiguri,No,Graduate,DEBA PRASAD ROY  in West Bengal 2006,0,Y,INC,4766476,2360076,http://myneta.info/compare_profile.php?group_id=4sTMKR4HCPVRG8EhY3Lc,http://myneta.info/wb2006/candidate.php?candidate_id=39
9,46,KAMAN,No,8th Pass,Toran Singh in Rajasthan 2013,0,Y,BYS,2831000,1000000,http://myneta.info/compare_profile.php?group_id=4CaCzmBGda9zxknwP8Y,http://myneta.info/rajasthan2013/candidate.php?candidate_id=1417
10,41,Nadbai,No,10th Pass,TORAN SINGH                                                             in Rajasthan 2008,0,Y,RJVP,2382000,0,http://myneta.info/compare_profile.php?group_id=4CaCzmBGda9zxknwP8Y,http://myneta.info/rj2008/candidate.php?candidate_id=1286
